"Story","Title","Result","Date","Stability","Duration (s)"
"Serenity initial tests","Get users fail","FAILURE","2020-04-19T20:03:36.714-05:00[America/Bogota]","0.0","6.3"
"Serenity initial tests","Get users","SUCCESS","2020-04-19T20:03:43.09-05:00[America/Bogota]","0.0","0.56"
